episode,reward,average_reward,average_loss,epsilon,buffer_size,evaluation_reward
55,12.0,20.418181818181818,0.6404371783137321,0.7590483508202912,1123,
56,36.0,20.696428571428573,0.3470620647486713,0.7552531090661897,1159,
57,14.0,20.57894736842105,0.29871973608221325,0.7514768435208588,1173,
58,25.0,20.655172413793103,0.6986713635921479,0.7477194593032545,1198,
59,25.0,20.728813559322035,0.5068020755052567,0.7439808620067382,1223,
60,13.0,20.6,0.5121083649305197,0.7402609576967045,1236,
61,16.0,20.524590163934427,0.639261068077758,0.736559652908221,1252,
62,19.0,20.5,0.6178501154247084,0.7328768546436799,1271,
63,26.0,20.58730158730159,0.5600491991409888,0.7292124703704616,1297,
64,22.0,20.609375,0.7298655303364451,0.7255664080186093,1319,
65,12.0,20.476923076923075,0.7349027444918951,0.7219385759785162,1331,
66,36.0,20.71212121212121,0.6189744965069823,0.7183288830986236,1367,
67,48.0,21.119402985074625,0.8538464408678313,0.7147372386831305,1415,
68,35.0,21.323529411764707,0.6447354474237987,0.7111635524897149,1450,
69,42.0,21.6231884057971,0.6145847934697356,0.7076077347272662,1492,
70,61.0,22.185714285714287,0.8517521164212071,0.7040696960536299,1553,
71,17.0,22.112676056338028,0.7273375497144812,0.7005493475733617,1570,
72,43.0,22.40277777777778,0.5998607929362807,0.697046600835495,1613,
73,53.0,22.82191780821918,0.7507607141193354,0.6935613678313175,1666,
74,46.0,23.135135135135137,0.6319642089631247,0.6900935609921609,1712,
75,40.0,23.36,0.6538559682667255,0.6866430931872001,1752,500.0
76,42.0,23.605263157894736,0.7022109375823111,0.6832098777212641,1794,
77,71.0,24.22077922077922,0.5151060335862805,0.6797938283326578,1865,
78,37.0,24.384615384615383,0.5287863239645958,0.6763948591909945,1902,
79,87.0,25.17721518987342,0.7770723906056635,0.6730128848950395,1989,
80,95.0,26.05,0.5218310912973002,0.6696478204705644,2084,
81,32.0,26.123456790123456,0.5123582778032869,0.6662995813682115,2116,
82,20.0,26.048780487804876,0.9980767257511616,0.6629680834613705,2136,
83,48.0,26.313253012048193,0.5490588724302748,0.6596532430440636,2184,
84,119.0,27.416666666666668,0.5730409369248302,0.6563549768288433,2303,
85,20.0,27.32941176470588,1.2839940622448922,0.653073201944699,2323,
86,74.0,27.872093023255815,0.5879313609487301,0.6498078359349755,2397,
87,67.0,28.32183908045977,0.6660822860118168,0.6465587967553006,2464,
88,21.0,28.238636363636363,1.2198259972390675,0.6433260027715241,2485,
89,77.0,28.786516853932586,0.682113790763663,0.6401093727576664,2562,
90,94.0,29.511111111111113,0.7433973478668547,0.6369088258938781,2656,
91,28.0,29.494505494505493,0.922314244721617,0.6337242817644086,2684,
92,76.0,30.0,0.7551371998300678,0.6305556603555866,2760,
93,57.0,30.29032258064516,0.6739278762486943,0.6274028820538087,2817,
94,32.0,30.30851063829787,1.0248044384643435,0.6242658676435396,2849,
95,105.0,31.094736842105263,0.8317907014063426,0.6211445383053219,2954,
96,12.0,30.895833333333332,1.2641636778910954,0.6180388156137953,2966,
97,19.0,30.77319587628866,1.1812224388122559,0.6149486215357263,2985,
98,9.0,30.551020408163264,1.2524717019663916,0.6118738784280476,2994,
99,125.0,31.505050505050505,0.8251131335496903,0.6088145090359074,3119,
100,72.0,31.91,1.0639999717887905,0.6057704364907278,3191,178.8
101,68.0,32.46,1.0113251143518616,0.6027415843082742,3259,
102,69.0,32.92,0.6311717098173888,0.5997278763867329,3328,
103,123.0,33.99,1.1883392068671017,0.5967292370047992,3451,
104,153.0,35.4,0.8933040998340432,0.5937455908197752,3604,
105,35.0,35.64,0.9865844581808363,0.5907768628656763,3639,
106,100.0,36.56,1.005622050613165,0.5878229785513479,3739,
107,64.0,36.98,0.9346619886346161,0.5848838636585911,3803,
108,34.0,37.13,1.0309551590505768,0.5819594443402982,3837,
109,137.0,38.27,0.9941850894123968,0.5790496471185967,3974,
110,143.0,39.36,0.8521323175905468,0.5761543988830038,4117,
111,25.0,39.48,1.178813424706459,0.5732736268885887,4142,
112,103.0,40.27,1.007577154966234,0.5704072587541458,4245,
113,105.0,41.14,0.9610949018171855,0.567555222460375,4350,
114,109.0,42.12,0.8739509037738546,0.5647174463480732,4459,
115,101.0,42.94,1.261411852470719,0.5618938591163328,4560,
116,82.0,43.65,0.9465005626765693,0.5590843898207511,4642,
117,40.0,43.92,0.9532540235668421,0.5562889678716474,4682,
118,34.0,44.04,1.2986367888310377,0.5535075230322891,4716,
119,85.0,44.51,0.9822508675210616,0.5507399854171277,4801,
120,25.0,44.56,1.3530640989542007,0.547986285490042,4826,
121,19.0,44.52,1.6503371784561558,0.5452463540625918,4845,
122,24.0,44.41,1.1291030645370483,0.5425201222922789,4869,
123,77.0,44.97,1.3643691539764404,0.5398075216808175,4946,
124,85.0,45.66,1.3696635367239223,0.5371084840724134,5031,
125,156.0,47.02,1.021762133599856,0.5344229416520513,5187,205.0
126,34.0,47.18,1.0715185079504461,0.531750826943791,5221,
